variable,label,type,value_labels,n_value_labels,n_2017,n_2018,n_2019,n_2020,n_2021,n_2022,n_2023,n_2024,n_2025,source_by_year,version_years,other_versions,label_variants,value_label_conflicts
survey,Source survey,string,,0,17938,17861,19325,8986,17085,16572,17756,25867,25382,,,,,
year,Survey year,int16,,0,17938,17861,19325,8986,17085,16572,17756,25867,25382,,,,,
wave,Wave (survey year),string,,0,17938,17861,19325,8986,17085,16572,17756,25867,25382,,,,,
round,Data-collection round (month+year as labelled by NISR),string,,0,17938,17861,19325,8986,17085,16572,17756,25867,25382,2017: phase; 2018: phase; 2019: pkey % 100 (2020-file numbering); 2020: lfs_round (2020-file numbering); 2021: lfs_round (2021-file numbering); 2022: not shipped; 2023: not shipped; 2024: not shipped; 2025: not shipped,,,,
quarter,"Quarter of the round (1 Feb, 2 May, 3 Aug, 4 Nov)",int8,,0,17938,17861,19325,8986,17085,0,17756,25867,25382,2023: position block in file (PSU_NO restarts) -- see DECISIONS; 2024: position block in file (PSU_NO restarts) -- see DECISIONS; 2025: position block in file (PSU_NO restarts) -- see DECISIONS,,,,
interview,"Interview number of the household within the year (1, 2)",int8,,0,17938,17861,19325,8986,17085,16572,17756,25867,25382,,,,,
prov,"Province (1-5, NISR codes)",int8,"1=City of Kigali, 2=Southern Province, 3=Western Province, 4=Northern Province, 5=Eastern Province",5,17938,17861,19325,8986,17085,16572,17756,25867,25382,2017: province; 2018: province; 2019: province; 2020: derived: dist // 10; 2021: province; 2022: province; 2023: province; 2024: province; 2025: province,,,,
dist,"District (11-57, NISR codes)",int8,"11=Nyarugenge, 12=Gasabo, 13=Kicukiro, 21=Nyanza, 22=Gisagara, 23=Nyaruguru …",30,17938,17861,19325,8986,17085,16572,17756,25867,25382,2017: district; 2018: district; 2019: code_dis; 2020: district; 2021: code_dis; 2022: code_dis; 2023: code_dis; 2024: code_dis; 2025: code_dis,,,,
urban,"Area of residence (1 urban, 2 rural)",int8,"1=Urban, 2=Rural",2,17938,17861,0,8986,17085,16572,17756,25867,25382,2017: ur; 2018: ur; 2019: not shipped; 2020: code_ur; 2021: code_ur; 2022: code_ur; 2023: code_ur; 2024: code_ur; 2025: code_ur,,,,
cluster,Sampling cluster id (year_psu),string,,0,17938,17861,19325,8986,17085,16572,17756,25867,25382,,,,,
